node,straightness
49526654,0.8308772422199273
49526659,0.8436373675529968
49526696,0.8490499333615648
49526728,0.8520518071806004
49526735,0.8514013839346302
49526762,0.8784766831293654
49526791,0.8398741899173469
49526874,0.8342065735224636
49526880,0.8332011825346902
49526907,0.8416392805650408
49526957,0.841341751861833
49526987,0.8473303450547686
49526990,0.8387470544969193
49526991,0.8417864765899565
49526992,0.8483942877067631
49526996,0.8349944789321773
49527019,0.838729313592445
49527022,0.8310526842219049
49527032,0.8346276323818814
49527036,0.8351156786317868
49527043,0.8395051954240906
49527051,0.8476814190067872
49527108,0.8519287530398018
49527151,0.8347505132687748
49527167,0.8341385908148392
49527190,0.83450687786449
49527191,0.8338618352279539
49527199,0.844535780748982
49527202,0.8405029036604283
49527211,0.8423116917204397
49527216,0.8515063783774449
49527217,0.8504345533786025
49527219,0.849481968852886
49527221,0.8485923016006544
49527272,0.8434517472005204
49527302,0.8390303399769018
49527342,0.8443899333745545
49527348,0.8467262231284741
49527367,0.8381856266815999
49527372,0.8397338349420714
49527375,0.8407441498410778
49527376,0.8377517702565055
49527381,0.8398070073845455
49527388,0.8451784696214772
49527421,0.836103148087476
49527447,0.8447048213845803
49527455,0.8439205372539729
49527465,0.8466684473182478
49527470,0.8475749681405089
49527472,0.8440721532131589
49527477,0.8350784767816288
49527480,0.8651960486723199
49527481,0.8606576452919582
49527492,0.8549796902333191
49527505,0.8716536592607548
49527508,0.8715568023196039
49527513,0.8671477674518611
49527522,0.8670507361626772
49527526,0.862146049289073
49527529,0.8594641037171035
49527531,0.8596894869002388
49527534,0.8606145593814913
49527535,0.8575717159076481
49527536,0.8573360660801886
49527540,0.8564114673846713
49527545,0.8546161678284184
49527551,0.8566389563976675
49527556,0.8553346570380442
49527557,0.8556169924694181
49527558,0.8553425836056361
49527561,0.8503899407407607
49527569,0.8497427164362698
49527580,0.8424510033064042
49527607,0.8406650558422069
49527644,0.8448493139058619
49527651,0.8460154254897071
49527656,0.8430298959439514
49527657,0.839138580829809
49527666,0.8316177233309042
49527697,0.8385537445183211
49527708,0.8364775142445571
49527735,0.8322114399053082
49527782,0.8358290206913267
49527808,0.8388916719556221
49527814,0.8385789966679992
49527817,0.8405578984334351
49527822,0.8437172168154357
49527829,0.8437571492469764
49527831,0.8453072431816268
49527834,0.8487451033962229
49527840,0.8484608970542578
49527853,0.8413951505261701
49527855,0.8447894145939954
49527964,0.8520712961961348
49527977,0.8463799840955385
49527988,0.8707795523540451
49528029,0.8572961981682219
49528034,0.8587817925850032
49528038,0.8527341501604578
49528042,0.8480257532917358
49528044,0.8479309590970503
49528047,0.8527130894461735
49528049,0.8497361091368648
49528051,0.8488092221970425
49528054,0.8469527226673035
49528061,0.8474979580880155
49528064,0.8551146134858938
49528070,0.8250342970327003
49528076,0.8464645736612649
49528080,0.8481704232004047
49528083,0.8452240284661396
49528084,0.8554632958063094
49528092,0.8423634843045856
49528177,0.867131406147419
49528179,0.865657256638454
49528180,0.8637451056595848
49528184,0.8280414932705639
49528198,0.8639574651856267
49528201,0.8624950073196853
49528203,0.8602125895084577
49528204,0.859618592049057
49528206,0.8589169895618692
49528208,0.8589546916631607
49528226,0.860038104831947
49528233,0.8378884375874288
49528237,0.8332334276767416
49528242,0.8296178673672151
49528252,0.8252918933635143
49528262,0.8230740552316517
49528270,0.8377124899931782
49528339,0.8399820514972215
49528350,0.8246711436584045
49528358,0.8241825302581542
49528380,0.841997389085172
49528414,0.8353706890242726
49528430,0.8445661674561139
49528435,0.8424266841963398
49528439,0.8427011122570789
49528440,0.8423725748728365
49528468,0.8536687245671647
49528472,0.8524662701998984
49528477,0.853774931782966
49528497,0.8230702079091728
49528501,0.8363353406154469
49528555,0.8491004925918839
49528626,0.843835629764346
49528631,0.8461370000587678
49528634,0.8469840540943813
