node,y,x,street_count,highway,ref,geometry,eigenvector_w_bridge,closeness_w_bridge,betweenness_w_bridge,straightness_w_bridge,eigenvector_wo_bridge,closeness_wo_bridge,betweenness_wo_bridge,straightness_wo_bridge
10078392772,39.0282981,-76.029067,3,,,POINT (1588151.632284401 497354.01411905035),2.963161571979702e-16,4.817183689975077e-05,0.018899601841493353,0.8265475810736659,2.6929845020062635e-16,4.817183689975077e-05,0.018899601841493353,0.8265475810736659
10107514812,38.9922392,-76.1195128,1,,,POINT (1562585.7548436977 483961.1923836033),8.642262804408763e-18,4.9627061511168484e-05,0.0,0.7706530693050847,2.9036194278395733e-18,4.9627061511168484e-05,0.0,0.7706530693050847
1030106433,38.9238258,-75.9583292,4,traffic_signals,,POINT (1608679.7828865654 459528.76652391406),8.168252426053316e-16,3.397013526950568e-05,0.012110223669706549,0.8298493189067838,8.138804913077758e-16,3.397013526950568e-05,0.012110223669706549,0.8298493189067838
1036104688,39.2409482,-75.8711029,1,turning_circle,,POINT (1632065.3888534885 575315.02867818),0.00010197502260982388,2.41330613165324e-05,0.0,0.7741621041475948,0.00010197502260982307,2.41330613165324e-05,0.0,0.7741621041475948
1036711506,38.9906706,-76.1574611,3,,,POINT (1551805.686029248 483288.1377044497),1.165282520899531e-16,5.182615688259068e-05,0.1295654236559175,0.8006815325486423,1.3050656670293765e-16,5.182615688259068e-05,0.1295654236559175,0.8006815325486423
1036711509,38.991203,-76.1598307,3,,,POINT (1551130.417808557 483475.8250205761),1.9531759420823652e-17,5.12375448984288e-05,0.0017167353793093826,0.7874589908702371,8.643790312062565e-18,5.12375448984288e-05,0.0017167353793093826,0.7874589908702371
1036711510,38.986232,-76.1584413,1,,,POINT (1551541.997560801 481669.0766009322),1.633839818559188e-17,5.1007547981507564e-05,0.0,0.7788822057140764,1.6684213969625902e-17,5.1007547981507564e-05,0.0,0.7788822057140764
1036711515,38.9870154,-76.1605807,3,,,POINT (1550931.279477836 481948.7837300984),1.0097927821758053e-16,5.157607315920192e-05,0.13054001324732695,0.7928806380249837,1.0019583635980245e-16,5.157607315920192e-05,0.13054001324732695,0.7928806380249837
1036711518,38.9908956,-76.154643,3,,,POINT (1552605.8825691177 483377.48523872567),1.334085915993395e-16,5.194590385843825e-05,0.13216925388986334,0.8027527046175014,1.305926165508051e-16,5.194590385843825e-05,0.13216925388986334,0.8027527046175014
1037749605,38.9548571,-76.07845,4,,,POINT (1574393.6607247784 470462.3732925364),2.1572050801967964e-16,4.580803856821924e-05,0.024974412303762683,0.8126231229369935,2.516429353209405e-16,4.580803856821924e-05,0.024974412303762683,0.8126231229369935
