node,eigenvector
102554266,-2.1830815681218563e-19
102554303,3.1079294359889527e-19
102554313,-4.869638398295397e-19
102554419,2.3401638297838395e-17
102554426,2.176169368347023e-18
102554613,1.3567919195883303e-16
102554925,6.27792860802041e-20
102555033,1.353045164388441e-19
102555038,3.3228110929542824e-19
102555090,-4.881449045067665e-18
102555176,-1.5614300885517542e-19
102555178,1.8802265978752132e-19
102555258,5.153993196842258e-16
102555353,3.232404724775001e-18
102555355,2.915892239690213e-19
102555369,9.717599163697412e-16
102555553,-4.2514329824647795e-19
102555577,4.6027194312603844e-17
102555580,4.57907077290829e-16
102555699,-6.335818142525598e-19
102555701,-1.7278827641356334e-19
102555706,3.4636409227079202e-18
102555721,7.039722345533217e-19
102555793,2.846317757993151e-16
102555900,8.842959587070022e-14
102555902,8.720231734424452e-15
102555961,5.038375567771854e-15
102555969,1.2490197907491216e-15
102555972,7.819818321102223e-16
102555983,1.6621221341736394e-19
102555985,4.1112562642219486e-19
102555991,1.0627878453454954e-19
102555997,1.178330912407128e-19
102556083,7.308034448900018e-18
102556088,1.2447131613824132e-18
102556244,1.331619980007161e-16
102556287,1.0703812707323004e-19
102556303,8.729530352838033e-18
102556304,2.2469391260522864e-18
102556419,2.2385863424308197e-19
102556420,5.617316212098867e-19
102556647,-8.771322444312608e-20
102556833,2.740088505325147e-19
102556835,-1.976888256835658e-19
102556837,-7.018155535012158e-19
102556895,1.7115102239807637e-15
102556899,1.689302826200562e-16
102556905,8.325466864594051e-16
102556929,-8.55944207781262e-19
102556947,4.467631491482736e-19
102556979,1.453619784520462e-18
102557021,-1.3112469232736614e-19
102557027,-5.509674292639987e-19
102557088,-1.375148524567043e-19
102557102,-4.0609447999366376e-19
102557104,-2.0531217753070793e-19
102557119,1.2375761834085914e-18
102557194,3.6421496494463554e-19
102557240,3.2307467956164243e-17
102557267,7.676739318724423e-16
102557269,7.603897338475114e-17
102557280,-3.076257519062387e-19
102557389,-1.285364530813467e-18
102557440,4.1725560818799855e-19
102557504,-1.6787547364742166e-20
102557506,-1.7621491263730403e-18
102557513,-1.2051704707657602e-17
102557523,-8.847691928897539e-18
102557580,6.746338614278081e-20
102557592,4.0349175196871047e-19
102557621,4.862260616534823e-19
102557695,-3.196664232854267e-21
102557728,3.625660756068819e-19
102557886,-1.9715867882033123e-19
102557909,3.7698413343400683e-16
102558005,3.637369346217319e-15
102558010,2.437499270961468e-15
102558129,1.645934106209577e-16
102558139,3.7286198214235324e-19
102558140,1.5730605503938552e-19
102558228,2.741385632184032e-19
102558312,4.460749714149688e-18
102558388,5.084206700529529e-19
102558445,2.9618668464748355e-19
102558496,1.9318728912055674e-17
102558513,-4.989094943187094e-20
102558514,4.759050355571939e-19
102558599,-1.877693836295356e-18
102558610,-3.484583298807208e-19
102558680,6.643430790678904e-19
102558864,-5.788282516987889e-19
102558911,1.3401430209158128e-19
102558913,-1.7482836923699757e-20
102558924,-1.656334270828303e-20
102558949,-7.820263785800195e-22
102558951,-3.096170598651511e-19
102558987,1.0603697969423804e-19
102558990,-4.157758727402697e-19
102559020,3.2785550850983386e-17
102559025,4.343536809171942e-19
102559045,-4.2272111510118603e-19
102559051,1.2240642698266948e-18
102559054,-2.4819569681295057e-19
102559187,3.921823244687631e-19
102559189,4.20971253668249e-19
102559194,2.4551931445707257e-18
102559231,1.198778076523302e-19
102559233,2.5225485437734315e-19
102559243,3.208667323308912e-19
102559248,4.73712163256021e-19
102559258,3.0301371524002965e-18
102559262,-4.746380461005047e-19
102559268,1.4941972433498347e-19
102559273,4.0339143916479276e-19
102559275,3.330213836944614e-19
102559669,-1.9754792620769737e-18
102559671,-9.832158865302474e-19
102559674,-4.53347584325416e-19
102559675,1.8189970045877681e-19
102559684,5.10199493574824e-19
102559756,8.738844787441821e-20
102559821,-2.683866337648428e-19
102559822,-4.0607322376060005e-19
102559828,-1.4159921244934178e-19
102559829,3.314613482707677e-19
102559841,1.1215554240159734e-19
102559844,-3.5445139575920417e-19
102560058,-5.661887348681654e-20
102560255,-5.181970571460306e-19
102560357,-4.940108182392812e-19
102560362,-3.416417639338152e-19
102560367,-1.1899318472028206e-19
102560391,2.1907009714949724e-19
102560397,1.3909496987678632e-18
102560401,2.9350653088621117e-13
102560409,1.1576987977654687e-13
102560426,5.8581293037804326e-15
102560427,1.231588102143632e-14
102560436,7.480237405650378e-20
102560503,1.000759843328049e-17
102560522,1.1792377382187574e-17
102560549,4.3436796102920897e-17
102560560,-3.0486442469169905e-19
102560562,-3.0890232210353876e-19
102560564,-6.579964312655691e-20
102560567,1.2392419069224243e-15
102560569,1.2195246155778102e-16
102560574,2.323213765981141e-18
102560575,6.462959913265327e-19
102560605,8.95300597556668e-20
102560610,5.167115020170452e-19
102560612,-4.481524480884251e-19
102560618,-3.8778952468872184e-20
102560663,4.1445104024879833e-19
102560699,-4.598976998449259e-19
102560701,-3.210043279363337e-19
102560706,-6.114263120692277e-20
102560709,-8.39988892460396e-19
102560730,-1.0339989477847867e-18
102560739,-4.913759196884413e-19
102560742,3.8006464217227984e-19
102560751,-2.0378932440795308e-19
102560753,-2.500921093899e-19
102560755,2.109285952579676e-19
102560757,3.9673768735965317e-19
102560761,1.8573980062204502e-18
102560764,8.82634856322826e-18
102560796,-9.392849670114307e-19
102560799,-1.6846195005358973e-18
102560801,-1.900691695489388e-18
102560803,-8.130575506219694e-19
102560804,-6.302324670383397e-23
102560808,1.2580973428825041e-18
102560816,1.1996226762267647e-18
102560818,-8.266786784106254e-20
102560823,-1.221615509686804e-18
102560826,-8.330030648967757e-19
102560827,-1.3604849943903891e-18
102560830,-5.305517245509757e-19
102560835,3.2644221396369693e-18
102560836,1.1842971005573458e-17
102560924,-7.026535838165583e-20
102560926,1.504618305556086e-19
102560929,-3.0658472116089775e-19
102560931,-5.10775544727411e-19
102560940,8.293852496039935e-20
102560942,6.592110615788396e-20
102560953,5.0194472935585535e-19
102560955,2.4612452703220716e-19
102560957,-5.256745441305696e-19
102560959,9.392930477377797e-20
102560961,3.9165146444677142e-19
102560963,-5.194281522274889e-19
102560969,-6.576478528979528e-19
102561059,1.4909366441203864e-17
102561105,7.07513404900951e-19
102561109,1.9233770697045332e-18
102561161,-6.363870247105431e-20
102561191,2.2984520874135726e-19
102561192,1.7865872334079606e-19
102561196,8.127215966280845e-21
102561199,-7.308467467932198e-20
102561201,3.010595612134955e-19
102561228,-4.362401429995063e-19
102561229,-2.8142265596248207e-19
102561230,3.6384682902673227e-19
102561231,6.964083314177433e-19
102561234,1.813689020009667e-19
102561235,1.1323722294538715e-18
102561245,1.7001131936536045e-20
102561246,-1.7360547149775298e-19
102561248,2.1428727686227879e-19
102561249,4.478758354787793e-19
102561288,4.223143203108558e-19
102561305,2.1834256570481373e-19
102561312,-6.420274543470569e-19
102561314,-4.814171886695012e-19
102561317,-1.9664045261970323e-20
102561348,4.071919779231026e-19
102561361,1.4529292973403454e-19
102561366,-1.1064700138894715e-19
102561369,-3.0949279004139587e-19
102561372,-3.9311577728269973e-19
102561377,-6.788432841348037e-19
102561384,-4.521466950662266e-19
102561397,2.8733525439084225e-19
102561398,4.972184743047677e-19
102561402,-2.177600459943069e-19
102561407,1.3332772747963554e-19
102561415,3.130824582284272e-19
102561437,3.1570952379264964e-12
102561448,-3.3312506527744436e-19
102561449,-6.046705440532906e-19
102561452,-4.779282067023957e-19
102561453,-3.8099350012056825e-19
102561455,1.6734854991443338e-19
102561457,-3.0057321062849223e-19
102561458,1.1533039837100635e-20
102561465,2.0655440915945982e-19
102561471,-1.0942159544617924e-19
102561473,3.8253902478085568e-19
102561503,3.82774594811353e-19
102561509,3.7735173175633564e-19
102561511,-7.456890380635394e-20
102561541,1.6090978685254583e-17
102561542,1.5749639601569392e-16
102561683,-1.4386421739424354e-19
102561684,-5.89420456288736e-20
102561696,5.3710564169081664e-17
102561744,1.9222378855555123e-18
102561745,8.095334780818315e-18
102561747,4.7137436432086864e-17
102561750,-5.080802530112679e-19
102561753,1.6571083001856585e-19
102561822,1.2741692900107134e-19
102561824,-5.929663529408951e-19
102561825,-5.646972988158784e-19
102561837,-2.3636219065716547e-19
102561893,4.577395408017958e-18
102561902,1.1299336240861301e-17
102561906,2.6965377561592424e-20
102561937,4.3222751325517895e-19
102561938,-2.65646530624398e-20
102561944,-5.441233418931283e-18
102562007,1.6792141254108703e-19
102562015,-6.335186452709317e-19
102562018,-2.182584251953247e-19
102562027,3.6228581928634155e-19
102562028,4.524352985998981e-19
102562029,1.5983955355483794e-20
102562038,-4.363582477952194e-19
102562039,-1.8806278563137529e-19
102562041,-5.23724685883601e-19
102562043,-6.515788163515073e-20
102562046,1.6207444834569903e-19
102562048,6.25676071316068e-20
102562052,3.575131966999879e-17
102562054,3.9949508718579245e-18
102562056,3.037370232445553e-19
102562057,-2.342145215539418e-19
102562060,5.093796534278716e-19
102562076,1.1116012598722114e-18
102562159,-1.7734806844590722e-19
102562161,-1.2800269822452627e-18
102562170,-1.910298162957314e-19
102562193,2.0331091282744545e-18
102562490,-3.5996597690840864e-19
102562521,5.254605745594893e-18
102562525,1.7856310543846765e-20
102562581,-2.2060376848687737e-19
102562586,7.637407808287021e-19
102562596,9.360857026414973e-19
102562608,-3.8525852463683657e-19
102562610,-6.958204979120044e-19
102562636,3.9044767167049475e-16
102562641,-2.369852624156299e-19
102562643,7.049286657945748e-20
102562646,3.0798581477513694e-20
102562663,2.5846427991269065e-19
102562665,1.226064076310612e-18
102562729,1.8281345097376357e-16
102562731,1.845627179493194e-17
102562732,3.040270531217647e-18
102562734,8.534461460477571e-18
102562758,-2.66708863361627e-19
102562796,-5.845746669514649e-19
102562798,-7.433129163501161e-19
102562800,-3.5145131265488757e-19
102562801,4.765124849237987e-19
102562808,5.706602268293144e-19
102562838,6.94906206971822e-21
102562840,3.212586052272582e-19
102562869,-4.317096743270514e-20
102562925,-7.347620111520063e-20
102562944,4.3009656254136047e-19
102562964,2.570355131982538e-19
102562979,3.036250851554555e-19
