node,y,x,street_count,highway,ref,geometry,betweenness_w_bridge,betweenness_wo_bridge,closeness_w_bridge,closeness_wo_bridge,eigenvector_w_bridge,eigenvector_wo_bridge,straightness_w_bridge,straightness_wo_bridge
182804323,39.1996165,-76.0560583,3,,,POINT (1579839.1762574988 559667.0537787292),0.0120283102107014,0.0120283102107014,2.8388602973864195e-05,2.8388602973864195e-05,1.3361868146379445e-15,1.3361868146379445e-15,0.7034320915576612,0.7034320915576612
182804324,38.9843427,-76.2826938,3,,,POINT (1516230.1601899734 480679.4564480376),0.0006162387276656,0.0006162387276656,4.109795914198044e-05,4.109795914198044e-05,-1.270247479513774e-18,-1.270247479513774e-18,0.7188487014731912,0.7188487014731912
182804328,38.9830115,-76.2826817,1,,,POINT (1516237.409171429 480194.66931612924),0.0,0.0,4.077306062062044e-05,4.077306062062044e-05,7.162173457076048e-19,7.162173457076048e-19,0.7029139707930948,0.7029139707930948
182804329,39.2198516,-75.8658166,3,,,POINT (1633657.9861234666 567650.2423608366),0.0042521128829844,0.0042521128829844,2.597474719840737e-05,2.597474719840737e-05,0.0547944817038384,0.0547944817038384,0.8159581644795627,0.8159581644795627
182804330,39.2179438,-75.8705832,1,,,POINT (1632316.2325020817 566938.6841980377),0.0,0.0,2.5666701160549005e-05,2.5666701160549005e-05,0.0054494836155791,0.0054494836155791,0.7903642645420498,0.7903642645420498
182804335,38.9552032,-76.0895221,3,,,POINT (1571243.953026828 470556.82409709727),0.0008611583285386,0.0008611583285386,4.4944213628314246e-05,4.4944213628314246e-05,-1.4109922276441457e-18,-1.4109922276441457e-18,0.7724481295125102,0.7724481295125102
182804336,39.2112848,-76.0299526,3,,,POINT (1587191.880965915 563994.242684913),0.0049822753392062,0.0049822753392062,2.818857353885592e-05,2.818857353885592e-05,1.6200520714019517e-18,1.6200520714019517e-18,0.7121513724289217,0.7121513724289217
182804337,39.21182,-76.028625,3,,,POINT (1587565.9612190716 564193.1645299601),0.0025621348059151,0.0025621348059151,2.810831891297492e-05,2.810831891297492e-05,-5.754718936818568e-19,-5.754718936818568e-19,0.7113209068077679,0.7113209068077679
182804338,38.98224,-76.2814546,3,,,POINT (1516588.4266010425 479916.43746037653),0.0034163986148581,0.0034163986148581,4.0880366524428085e-05,4.0880366524428085e-05,-6.171874493867245e-19,-6.171874493867245e-19,0.7070015987735442,0.7070015987735442
182804343,38.9824152,-76.282679,3,,,POINT (1516239.8831346706 479977.50690841593),0.0039873304994669,0.0039873304994669,4.1064582252204545e-05,4.1064582252204545e-05,-1.2935929906727653e-18,-1.2935929906727653e-18,0.7132446318860984,0.7132446318860984
182804349,39.062274,-76.079819,3,,,POINT (1573610.0350993094 509578.3934772301),0.0011456393394721,0.0011456393394721,4.542185833707979e-05,4.542185833707979e-05,9.35728147092624e-19,9.35728147092624e-19,0.7408173049849223,0.7408173049849223
182804353,39.0631018,-76.0779952,1,turning_circle,,POINT (1574124.8220790026 509885.09684942063),0.0,0.0,4.493962668478354e-05,4.493962668478354e-05,-9.673495134462094e-19,-9.673495134462094e-19,0.7294603585256706,0.7294603585256706
182804358,39.2247956,-75.9999697,3,,,POINT (1595633.140372043 569006.5893495028),0.0072731436300794,0.0072731436300794,2.8343879029820826e-05,2.8343879029820826e-05,5.2588614039309927e-14,5.2588614039309927e-14,0.7655890052009711,0.7655890052009711
182804361,39.2292832,-75.9978014,4,,,POINT (1596229.4310053408 570647.7277133997),0.0005729017473503,0.0005729017473503,2.792476423514591e-05,2.792476423514591e-05,1.4128540270761804e-14,1.4128540270761804e-14,0.762363775187869,0.762363775187869
