node,eigenvector
102562161,-2.972016004204182e-18
102562170,-4.779970025835073e-19
102562193,2.3324345299317764e-18
102562490,-4.1015209948710064e-19
102562521,4.567193531400564e-18
102562525,4.240041016319642e-19
102562581,-3.1110910116095413e-19
102562586,3.059887244287609e-19
102562596,4.806957771772149e-19
102562608,6.120357640530171e-19
102562610,-9.207183882632072e-20
102562636,3.9734030454116754e-16
102562641,-3.1932632022793e-20
102562643,2.3897346623498595e-19
102562646,4.130926697793578e-19
102562663,4.447770273490588e-19
102562665,1.569778220401823e-18
102562729,1.8339550610453003e-16
102562731,1.90999934023165e-17
102562732,3.1156010840172988e-18
102562734,8.711064135742794e-18
102562758,-1.2087656492452172e-19
102562796,2.0210613413912048e-19
102562798,-1.2512348700800554e-19
102562800,-1.4506424746508593e-19
102562801,4.993474903871674e-19
102562808,-9.021713728610942e-20
102562838,-4.900191669091485e-20
102562840,2.042228146402129e-19
102562869,3.3248455087949896e-19
102562925,6.063679696885137e-19
102562944,1.4503419843182095e-19
102562964,1.2729003631429545e-19
102562979,-2.1520376846560584e-19
102562983,-4.225186357521888e-20
102563008,-1.4865095443319508e-19
102563010,4.251172960017097e-20
102563020,-5.595008058159894e-19
102563042,1.9045001039488654e-19
102563043,-1.3249941789163625e-19
102563045,6.498373001535373e-19
102563056,7.418370489560451e-20
102563062,-2.5089108769722663e-19
102563070,5.289185697581504e-19
102563080,-3.4167833847765604e-19
102563102,-2.1386312838080142e-19
102563105,2.7169459487594386e-19
102563152,1.1105977860244237e-18
102563155,9.874037190382725e-20
102563159,-1.5624946647255523e-19
102563206,3.548399727880767e-20
102563222,2.431384442363798e-19
102563258,-2.400850401500545e-19
102563263,-1.7495436522168733e-19
102563271,-1.9139530801612634e-19
102563277,-5.195874643145021e-19
102563279,-1.345041717475184e-20
102563289,2.2614838769838514e-20
102563300,-8.783032370797739e-20
102563344,2.7554710461491526e-19
102563367,8.37030302282479e-17
102563379,9.044012715051168e-18
102563381,1.0563148602473454e-18
102563386,3.4232732222414193e-18
102563388,5.340705274472502e-19
102563436,-6.895276890949478e-19
102563439,2.173050487322966e-19
102563450,1.3931448097499624e-18
102563531,3.506317329026138e-19
102563532,-2.3975205996539244e-20
102563541,9.506071686591562e-20
102563543,2.740806361414186e-18
102563545,1.286326250775576e-19
102563553,-4.570135681529371e-19
102563560,-5.130789872657956e-19
102563561,-1.713002972940541e-19
102563593,8.78942722327649e-19
102563601,4.63795697964162e-19
102563603,3.2282497916215334e-19
102563608,5.00012526139691e-19
102563613,4.0721717267505013e-19
102563617,-2.6845337109951803e-19
102563619,2.312380926215793e-19
102563621,-4.310601343627919e-19
102563628,5.888328341433904e-19
102563633,2.619763657619326e-19
102563636,-9.176658082941416e-20
102563637,3.8179443804012054e-19
102563638,6.282842156450284e-19
102563658,4.1313843156276388e-19
102563660,8.269737350554175e-19
102563675,2.222637413065546e-18
102563677,2.1237771722595942e-17
102563681,1.809591786536832e-15
102563686,2.830050775920365e-17
102563688,3.065656944617799e-18
102563690,8.104666013506182e-20
102563712,5.260538339248289e-19
102563714,1.990521083332016e-20
102563743,4.686047380828664e-19
102563787,2.5280704497924675e-20
102563790,5.172138181757559e-19
102563795,3.525110116801671e-19
102563808,9.475650340687871e-12
102563810,9.343443372938845e-13
102563815,1.5438598266424e-19
102563816,6.949966917882919e-19
102563818,4.344710670288099e-19
102563820,4.0456591214846247e-19
102563827,-1.0083803085509617e-19
102563832,-3.903320952453603e-19
102563834,-7.183075336535842e-20
102563841,1.2387386029761365e-17
102563842,2.861872418436099e-18
102563875,-5.629963329034034e-19
102563876,1.5642673945543367e-20
102563878,-1.5948061620968e-19
102563879,-1.2218661405392092e-19
102563883,-4.1038079686980467e-19
102563885,1.5564747452084103e-19
102563886,-1.177726927400336e-19
102563899,4.539592918813876e-19
102563900,-1.1476065124503997e-19
102563902,2.0394677406674203e-19
102563904,-2.7079461856141124e-19
102563920,-1.752301002687345e-19
102563922,-1.4225250866632642e-20
102563926,-3.2603807309740876e-19
102563928,1.6868763230203395e-19
102563940,3.117234999543384e-19
102563941,3.4550058678596897e-19
102563946,-1.5183662895372292e-19
102563948,-2.0841338599962817e-19
102564097,6.575434603904251e-19
102564098,1.22696709157797e-19
102564113,-1.6332900646441705e-20
102564115,-8.794353913205586e-19
102564118,3.858133032295604e-16
102564121,3.83481108983217e-15
102564125,1.6388649553104066e-19
102564126,2.0138840368413315e-19
102564129,8.575698151477269e-20
102564130,6.239693001952214e-19
102564131,-2.2937411503210683e-19
102564132,1.3511129970602525e-19
102564138,4.2409974660863082e-19
102564143,-2.2667054996294428e-19
102564163,-1.4063578911768426e-19
102564172,-1.532120280178913e-19
102564173,-6.619902455607913e-19
102564174,2.884789876616547e-19
102564176,1.916435204987208e-20
102564178,2.81923992306304e-19
102564182,-2.171732333229578e-19
102564184,1.3834787756173517e-19
102564193,2.04886930758529e-19
102564259,-2.682297482443095e-18
102564275,-2.19194643676946e-19
102564284,-2.456899145397029e-19
102564288,4.47716031993695e-19
102564291,-1.6711801683073503e-20
102564293,-1.9259085901328127e-19
102564339,-2.6953782962902875e-20
102564341,-3.9187543761037746e-20
102564346,2.3409800437897063e-19
102564386,-3.191592518423445e-18
102564405,1.876139210173302e-19
102564409,-4.8124952179059714e-20
102564411,1.432502569806606e-19
102564422,-4.14839635959932e-19
102564545,1.4832269759413594e-20
102564575,1.1450628902069444e-14
102564578,1.161265451346477e-13
102564620,2.967542430323214e-17
102564639,2.19183422771182e-20
102564643,9.3032346449455e-19
102564649,8.255783345002257e-20
102564654,-1.2861401426407859e-19
102564656,2.448262809987263e-19
102564659,5.404221287625446e-19
102564661,2.475996469071743e-19
102564665,-2.319426526016236e-20
102564667,1.4804434971641278e-19
102564669,-9.579739211481476e-20
102564671,-8.928933189731212e-19
102564672,7.3929061979591315e-19
102564674,3.889146889976678e-18
102564692,-8.586088194500284e-19
102564709,-4.895720526358176e-18
102564730,-1.563913436038545e-17
102564760,-3.870095041975513e-17
102564809,1.573954057342839e-19
102564810,8.110921777822563e-20
102564815,-2.6054681639643457e-19
102564817,3.81147976173748e-19
102564821,-1.3826338578459115e-20
102564823,-5.221448976243856e-19
102564922,1.2969088295148756e-20
102564939,-2.4038113048259953e-20
102564948,3.1474619783555034e-20
102564950,8.09502316734485e-19
102565128,2.778515001965313e-19
102565130,1.4063991737700865e-19
102565132,2.256357401018802e-19
102565138,4.631930669167376e-19
102565144,1.7905818373751946e-19
102565146,-3.8341712476188913e-19
102565150,2.5745743802423837e-16
102565154,2.5576775811654732e-17
102565160,2.7576421674872016e-18
102565162,2.8960879681097747e-19
102565164,1.507241725897502e-20
102565166,3.1197683574616443e-19
102565168,-1.1882208434112665e-19
102565169,1.7727877275886414e-19
102565173,-5.449004246404087e-20
102565185,3.277593668856955e-19
102565187,1.104119730777286e-19
102565188,9.900939826770734e-20
102565238,-5.155527846461791e-20
102565240,7.779519172073845e-19
102565243,8.910315244940285e-20
102565245,5.534540619491008e-19
102565247,-3.799417424600077e-19
102565249,-4.3009755419916925e-19
102565251,-4.124389700497272e-19
102565253,5.411864980637592e-20
102565255,-1.5090699562444808e-19
102565314,-1.4132675983928125e-17
102565316,-3.0779104160306465e-18
102565320,-5.163711123023131e-18
102565329,-1.7880430627403163e-19
102565341,3.061391601322066e-19
102565342,-1.1762709278251851e-20
102565352,-6.178678461558016e-20
102565353,2.8545997338638864e-19
102565355,-2.753919615333533e-19
102565362,-1.5452717255222251e-18
102565364,-1.3745347340874993e-19
102565365,-5.754035419517197e-20
102565367,-7.745630160950878e-20
102565370,4.848072348773446e-19
102565372,-4.121437907320457e-19
102565374,-2.712497771187812e-19
102565377,8.74567545693017e-21
102565378,1.4619558192437765e-19
102565384,4.105206657560937e-19
102565386,-1.4594765579555843e-19
102565393,1.1274437096926148e-19
102565406,-1.8827565970664015e-19
102565425,1.630762554963831e-19
102565427,1.5486666561906832e-20
102565433,2.001703123099591e-19
102565436,-2.6070121300351724e-19
102565476,-5.450132822432352e-20
102565478,-1.758849467619865e-19
102565480,-8.444533104430893e-20
102565482,-8.874793272053984e-20
102565490,2.3595305310635694e-19
102565491,-3.019278299331794e-20
102565493,-3.95757320691507e-20
102565495,2.1457447919638797e-19
102565497,-1.0244164855539877e-18
102565500,1.0819832422068516e-19
102565502,6.859585496532457e-19
102565506,-4.003692972450716e-19
102565556,4.131998763725919e-19
102565558,-4.1910109768292433e-20
102565560,1.1581201203887557e-19
102565562,-9.399705556741491e-20
102565564,6.341822460988049e-20
102565566,3.670666537090618e-19
102565568,1.912610856414141e-17
102565581,-1.5198187946035873e-19
102565583,3.710480446995665e-19
102565585,2.137383904420564e-18
102565587,2.277786418518324e-19
102565601,-1.5672255033486783e-19
102565603,-6.324663906475275e-20
102565612,5.9429234336717445e-19
102565623,-1.9001398591459784e-19
102565624,-2.5763478019409802e-19
102565667,3.7750528833570187e-17
102565669,8.697614624237073e-18
102565673,2.4877247795337395e-19
102565692,3.5901974504251454e-14
102565716,2.812488181423856e-19
102565718,5.26477952852916e-19
102565832,6.631131013667646e-19
102565834,1.3464361141203326e-19
102565836,1.7224703447334593e-20
