home,work,flow,home_node,work_node
24003701200,24003730300,10.0,102600790.0,102618278.0
24003701200,24003730502,15.0,102600790.0,102601086.0
24003701200,24003730601,55.0,102600790.0,102576280.0
24003701200,24003730604,15.0,102600790.0,3127053810.0
24003701200,24003730700,10.0,102600790.0,102573307.0
24003701200,24003731004,15.0,102600790.0,102565581.0
24003701200,24003731103,35.0,102600790.0,671848362.0
24003701200,24003740102,25.0,102600790.0,102570587.0
24003701200,24003740201,10.0,102600790.0,335802021.0
24003701200,24003740304,55.0,102600790.0,4717768057.0
24003701200,24003740603,120.0,102600790.0,102587365.0
24003701200,24003741000,35.0,102600790.0,102597505.0
24003701200,24003750202,30.0,102600790.0,605215092.0
24003701200,24003750400,25.0,102600790.0,102564980.0
24003701200,24003751200,25.0,102600790.0,33154781.0
24003701200,24003751400,45.0,102600790.0,102659137.0
24003701200,24003751500,10.0,102600790.0,666085667.0
24003701200,24005400400,10.0,102600790.0,37403564.0
24003701200,24005403402,15.0,102600790.0,37561313.0
24003701200,24005408400,35.0,102600790.0,37285916.0
24003701200,24005408702,25.0,102600790.0,37749534.0
24003701200,24005430200,45.0,102600790.0,37562638.0
24003701200,24005980200,25.0,102600790.0,37037548.0
24003701200,24027601105,10.0,102600790.0,37227399.0
24003701200,24027605102,25.0,102600790.0,37186575.0
24003701200,24027606606,35.0,102600790.0,37186161.0
24003701200,24510030200,10.0,102600790.0,49512386.0
24003701200,24510040100,45.0,102600790.0,288278897.0
24003701200,24510120700,4.0,102600790.0,49555808.0
24003701300,24003701101,15.0,102628342.0,102589569.0
24003701300,24003701102,20.0,102628342.0,102598366.0
24003701300,24003701300,520.0,102628342.0,102628342.0
24003701300,24003701400,30.0,102628342.0,102580038.0
24003701300,24003702205,10.0,102628342.0,102621587.0
24003701300,24003702209,10.0,102628342.0,1644764415.0
24003701300,24003702300,40.0,102628342.0,2581953485.0
24003701300,24003702402,265.0,102628342.0,298042789.0
24003701300,24003702701,255.0,102628342.0,452085434.0
24003701300,24003702702,15.0,102628342.0,102619363.0
24003701300,24003706101,55.0,102628342.0,102566166.0
24003701300,24003706301,20.0,102628342.0,4335780024.0
24003701300,24003706302,15.0,102628342.0,102639717.0
24003701300,24003706401,45.0,102628342.0,3641449705.0
24003701300,24003706500,135.0,102628342.0,102591787.0
24003701300,24003706600,75.0,102628342.0,102617229.0
24003701300,24003706700,15.0,102628342.0,102579127.0
24003701300,24003707002,10.0,102628342.0,102635877.0
