tract,geometry,residents,workers,node,intersection_geom,closeness_w_bridge,straightness_w_bridge,closeness_wo_bridge,straightness_wo_bridge
24005980000,"POLYGON ((1453736.3237924455 562819.9869177692, 1453739.8322010688 563546.2138705705, 1453740.6006798262 563705.2971280597, 1453741.1569204936 563820.4473468029, 1453741.9717298402 563989.128984014, 1454884.9770168236 564297.3534133813, 1454749.3354978978 564900.5001767847, 1455112.375658576 565807.6164389193, 1455039.9493338028 566712.6950893939, 1454611.8371877177 566975.9427956494, 1454229.2049726176 567211.2353353525, 1454292.212972664 568016.1698978655, 1454726.572009417 568622.0910513323, 1453921.971069292 569528.0122902698, 1454054.8387403707 569664.4731650965, 1454963.8839559592 572385.919741601, 1455513.4682402536 573394.6063275139, 1456266.9144050763 575474.9232744608, 1456657.2226871948 576533.7433380045, 1457167.6060982642 576727.4579161542, 1457328.1077928122 576488.3276944726, 1457831.6191334187 575990.3360487163, 1458087.429432898 575877.4082599703, 1462760.1536444384 574855.9261776333, 1464217.1825330989 574738.7887904804, 1465391.6549960002 574367.2796353688, 1466348.545878052 575484.6087975128, 1466630.0127961813 574686.7933344648, 1466407.7549268538 572868.6673337022, 1466159.451363698 571423.3658263171, 1465760.9425427786 570795.9723844214, 1464546.8041210268 570659.4899685703, 1463996.4906312008 570404.205271547, 1462826.4554435175 568575.1092150473, 1462760.2893230296 567385.8666291732, 1464251.7519589884 567603.6592040119, 1464579.6588590282 567582.6419831021, 1465357.3599131054 566093.8827982814, 1465520.5701674984 565464.01325651, 1464933.2952228165 564917.611862562, 1464614.385199058 564620.9129542487, 1464863.7633980624 562308.4229234786, 1464935.0608623994 560358.3893078488, 1464788.927819041 560390.6721335095, 1464366.9207058882 561025.5900882492, 1459664.6893465477 560706.9802469678, 1459079.5206291294 560455.1886482653, 1458125.7071742 560044.8123155675, 1457886.9957445 559942.1147627524, 1457176.9467103167 559636.6579754383, 1456581.5144245953 559447.845079108, 1456281.312390092 559352.6566037514, 1455244.3831701493 559504.9800740085, 1454479.3293825085 560568.6830848067, 1454277.9129333284 561016.8558103464, 1453991.0590424398 561655.1653660437, 1453733.465504701 562228.3941551942, 1453736.3237924455 562819.9869177692))",0.0,395.0,10090459882,POINT (1459989.7997080772 568218.4301920751),0.0,0.0,0.0,0.0
24005440702,"POLYGON ((1459374.0885266103 617082.3975593044, 1461287.2539602944 618600.3091414948, 1465775.0370256447 621539.8937235682, 1466606.9176100087 622462.4025339035, 1467456.9076031384 621820.6038927608, 1468962.6801220577 621066.2501947454, 1468680.2264156824 620695.9158720473, 1468033.2649358606 619633.49493762, 1466721.0595650242 617370.9121394004, 1464882.9472843485 615583.1767386177, 1464326.4984372074 615092.8939416438, 1464149.0639545976 615259.0370456441, 1462386.7819666825 616180.4564525266, 1460838.7495571007 616991.0381223797, 1459374.0885266103 617082.3975593044))",1965.0,1764.0,1015168609,POINT (1464819.0069601687 618711.6685199036),5.0558651856177854e-05,0.8159989490433355,5.0558651856177854e-05,0.8159989490433355
24027606804,"POLYGON ((1353112.7794193993 549564.526954965, 1355818.56125547 548308.7343002527, 1356361.2269028535 547956.3590785672, 1357009.6463876138 547446.8343627069, 1357161.5942969841 547129.4966876216, 1360696.8483669832 543468.898168495, 1359432.057053072 542751.5975322915, 1358470.398811059 541841.4977991626, 1358091.5894194331 541331.6448901606, 1357007.9520488817 539397.9286686956, 1356591.5176278541 539457.672216696, 1355579.4845604268 540554.8073309308, 1354257.9740562032 543860.8364307631, 1354722.6587038874 544418.8523689605, 1354871.586300142 545759.4292651071, 1354318.276703519 546539.7773522908, 1354538.447024582 547140.7370380657, 1353482.1190197011 547632.9154517966, 1353148.179391261 548146.3015740026, 1353112.7794193993 549564.526954965))",1143.0,884.0,10207665811,POINT (1356711.9243541602 544040.7207837251),6.536382453223394e-05,0.685562867348555,6.536382453223394e-05,0.685562867348555
24510272004,"POLYGON ((1398641.7706029313 619765.837415919, 1398789.066046695 620357.862233616, 1399268.6908143475 620989.9805143994, 1399282.5715909612 621233.342192607, 1401767.0098575898 621240.0176573705, 1402137.9851582823 621304.3211188848, 1402159.3208021654 620860.382016062, 1402188.4545076482 620694.0240536811, 1402576.2262374475 620161.3966689206, 1401326.4366477125 620124.6358850342, 1401368.9598590028 618862.6790616603, 1400101.3744703417 618386.6392387794, 1399769.3160194377 618922.4057069796, 1399361.610637135 619006.259574125, 1397955.9050481145 618649.6953934855, 1398641.7706029313 619765.837415919))",1362.0,138.0,1022041008,POINT (1400039.7861625631 619649.3017997467),0.0001015741524796,0.7600144509500194,0.0001015741524796,0.7600144509500194
24003730506,"POLYGON ((1416322.5215973197 535865.7214170722, 1416588.4570624842 537234.8040761782, 1416809.5446695078 538395.0110683676, 1416830.277549812 538528.399719512, 1418294.6914370866 537119.7207093291, 1418354.426508538 537077.7157665252, 1417847.2705499711 536525.6694909148, 1418462.7707642356 535349.2045317863, 1419166.42849409 534544.6236202302, 1419506.2826045991 533989.8645164124, 1419968.325186841 532501.3938032363, 1419124.006278362 532382.0743724037, 1417851.942410068 531273.267144941, 1417237.8801140764 531098.1307978927, 1417013.9639818422 530345.4758186985, 1416561.2969945339 531652.2935074982, 1417038.6106007514 533020.0434768839, 1417019.1428557322 533555.00362656, 1417361.3213609534 533607.7450195735, 1417224.286403032 534243.1173510462, 1416626.484477753 534836.2011919749, 1416020.1323230425 535163.0196970572, 1416322.5215973197 535865.7214170722))",1244.0,453.0,102551053,POINT (1417714.0516620143 534173.2374219407),6.76853010695408e-05,0.730809163292514,6.76853010695408e-05,0.730809163292514
24003707001,"POLYGON ((1429994.2049341851 424092.0779337344, 1431430.1620810437 424483.5689819457, 1432228.2250200207 424945.7605213303, 1432634.0486515283 425399.6046344835, 1433354.6855734845 425717.25052699033, 1433798.5054610411 426567.5272118079, 1434258.8168648954 426931.6946831053, 1435488.310084888 427087.53708591114, 1436135.4886632345 427680.9772112801, 1436635.4153791305 427731.4362881381, 1437230.5345883039 427117.3334706541, 1437922.709917004 427055.47549533757, 1438322.123368555 426395.2927211739, 1438985.819424524 426044.51501575386, 1439081.3068229686 425622.87304359017, 1439796.756629356 425877.66821864224, 1440234.7590153723 425203.8648006741, 1442049.4507313415 425121.8060159059, 1442177.0174030906 425360.26531495474, 1442710.666742248 426361.20843432593, 1443561.8291284651 427539.3094020598, 1444611.7019103533 428273.3975284483, 1444699.8001997445 428536.0706190299, 1445369.1593808222 430535.310182793, 1445804.7394916397 431343.1267673552, 1446748.9615120518 431650.3132104504, 1447492.6178995003 431856.66818194283, 1448135.8248047365 431826.17334854277, 1448475.9104315292 431491.0672742629, 1449051.8881059291 431358.97365697427, 1449896.3554634966 431736.92537206935, 1449901.69672906 431739.31604209053, 1450265.1213894063 431975.59152171976, 1450469.317209985 432108.35067267396, 1452032.1843553674 431004.0712672998, 1452309.6489499977 430811.31770832225, 1452609.6444616842 430602.91855532496, 1452714.7846692605 430332.46471676126, 1452884.3138447125 429896.3947956893, 1453799.3480776178 429699.2281148315, 1454057.8487581238 430441.5504463696, 1454180.195119836 430792.9016356314, 1454199.2245902938 430847.5509003572, 1454704.325742163 431288.44802178437, 1454741.5927130587 431661.18109181925, 1454790.4539429261 432149.8932823331, 1455247.367354779 432388.04071439634, 1455697.3691031395 432483.7550416864, 1456310.1881461006 431616.3358654712, 1456594.2844522472 430715.78292046447, 1456712.4952817487 429277.1132773233, 1457293.9763542674 428787.94864639314, 1457634.964565675 427250.00683431147, 1457212.7127341419 425789.02193673124, 1457200.331215624 425775.4306516258, 1457044.2366486848 425604.086202915, 1456718.1731415635 425246.1777384434, 1456412.0079903388 424910.1236631724, 1456385.2076645824 424859.6694010003, 1456383.2124683936 424855.9132559169, 1456374.4800515785 424839.4736720541, 1456054.1937651453 424236.5215017119, 1455976.9843237258 424091.17632736533, 1455992.136072752 423256.87431642716, 1455898.4198339453 422584.40486756666, 1455882.3680590244 422479.14543306787, 1455679.2916234576 421147.47139644274, 1455663.8965520926 421046.530045514, 1455461.3612031785 420482.6555075924, 1455113.8852104996 419515.316623046, 1455136.582693896 419432.82024729706, 1455385.4371001178 418528.3679853768, 1454957.9305610247 418332.78364577424, 1454692.49748685 418211.3529785129, 1454390.5877407223 417353.83089202136, 1453551.153379644 417191.5605845564, 1453295.910852657 416991.6302985637, 1452911.5824549433 416690.5982378272, 1453158.6594177275 416055.6772489106, 1453031.0802706708 415144.85104989953, 1452831.206115588 415135.43438645976, 1452507.1471241938 415120.1702927229, 1452459.3705876777 414985.38648033905, 1452097.3486039331 415757.50006880524, 1451693.5875601326 416069.6381444511, 1451379.9409981505 415465.2088195326, 1450018.266366524 415320.66221580503, 1449275.9981756161 415575.6897418909, 1447609.647103744 415273.787609083, 1446976.0713009585 414904.84484765865, 1445880.6798712914 415837.73885266803, 1445699.7952182055 416213.39248143265, 1444889.5364666018 416403.7331870283, 1443625.7156665118 416240.35440852377, 1443691.7416272433 418569.7388232961, 1443193.6097815589 418582.88853214995, 1441121.240503215 418476.39728608064, 1440937.6758123506 417452.81976464175, 1440377.68190037 415789.67755448894, 1439900.4357610669 415368.86967309867, 1439778.1107947927 415325.65906970704, 1439161.1968841746 414673.6439825892, 1439029.3074394637 412146.92525411525, 1439201.8706474702 410716.83326200076, 1436584.8380794607 410593.4926596523, 1436385.6546793613 410583.8018835153, 1434249.6655228832 410471.3707073365, 1433960.0806735423 410776.670112566, 1433324.650415089 412764.4137911892, 1433278.1893979218 415768.0994188258, 1432881.298249598 417413.8888583864, 1432545.3672427365 418457.21875214786, 1432545.4241865254 419307.62131873006, 1430819.225818298 422710.4109099947, 1430354.2777776239 422963.96515395906, 1430010.8867695306 423553.50385766255, 1429994.2049341851 424092.0779337344))",2010.0,777.0,102553191,POINT (1444859.0841433762 421417.58634664916),3.3351899681031104e-05,0.7027580864584937,3.329995479292791e-05,0.7022851003611059
24003702206,"POLYGON ((1403435.9115023478 490977.99442234315, 1403775.4091092716 491313.5347670304, 1404390.6894842484 491917.0238546743, 1405033.0440217755 492569.06964974396, 1405097.5125247082 492735.3802525152, 1404766.3055929043 493670.581139906, 1404804.2058623512 494435.1943376958, 1405700.539316724 494120.0892815868, 1406514.2875420514 494490.1591233236, 1407736.9024199285 493990.2001769622, 1408729.6134660614 494435.6618490312, 1409521.692694487 494433.52136782237, 1409287.8179471975 493462.02343832847, 1409358.2300312323 492791.41097851965, 1407995.0707053144 490932.5134215872, 1407820.2225129625 490266.09301972244, 1407725.2666178623 487267.5719692803, 1408147.192596864 485750.7416840312, 1407719.0649165115 485167.88612892636, 1407547.1680758356 485155.5995451679, 1405654.714249802 483958.4854946896, 1405199.5621553739 485580.4906219078, 1404901.0441836698 486487.3943245939, 1403569.8480326557 488524.7889588813, 1402549.5025564113 490050.89370863116, 1403435.9115023478 490977.99442234315))",1924.0,264.0,102560739,POINT (1406353.02948165 489848.35116620664),4.492192200391476e-05,0.7548294406758387,4.492192200391476e-05,0.7548294406758387
24003751102,"POLYGON ((1421631.2269962188 560971.3477650543, 1423586.6174557519 561206.9662270045, 1424290.4956879972 561210.0046441435, 1428135.6884611615 560988.7353720801, 1428597.1741871408 561017.394861423, 1430191.130218029 561580.4226047441, 1430417.8286711292 561393.1509531706, 1430671.5767654832 561302.1612577896, 1431267.2687780638 561106.7541303646, 1433216.4571278002 556345.136780153, 1432348.7279718656 553937.2053116239, 1430120.8904839978 553732.1034997724, 1429318.0909249212 553307.0508010886, 1427615.4613211523 551758.7321393836, 1426919.6753831983 551534.5556776805, 1426911.087815591 551041.3568030867, 1426699.1368183251 550250.7790889584, 1426511.5351884642 550170.9135194388, 1426225.303453169 550020.6836935267, 1425962.3999218636 549657.4880822656, 1425488.2050682276 548339.8292172289, 1424662.792715435 547843.0721826083, 1424337.3416359192 547640.6092968027, 1424268.486433014 548024.5676498367, 1424079.9910439749 550180.3266647914, 1423982.8524298659 550485.8559335287, 1423147.8747488284 551437.2625318826, 1421895.3124798909 552010.6794084718, 1422061.0066236788 552443.7170946536, 1422168.498245844 553097.5934981271, 1421888.0990551645 554650.554418078, 1421865.7442362902 554976.4417842011, 1421938.0629895434 558042.8045833146, 1421631.2269962188 560971.3477650543))",1416.0,4962.0,102561687,POINT (1426544.483220455 556164.5282653039),5.819429227292648e-05,0.7630293870870589,5.819429227292648e-05,0.7630293870870589
24003731105,"POLYGON ((1447136.040346935 506540.0082772721, 1448125.4831364604 506686.85447790014, 1448916.5221297767 506544.59710038843, 1448943.4443476652 506716.6488394092, 1448105.663115862 507488.7537722672, 1448191.1530335634 507593.7318130914, 1448629.7712680358 507828.7691954187, 1448836.7588348875 509179.6438874294, 1449002.2526927344 509457.3207164809, 1449693.946275016 510686.20304683375, 1450093.3141316562 510921.78638780914, 1450541.4054890217 512507.4243376308, 1451556.7872562895 513751.2023892361, 1455402.2328767537 512240.2524362847, 1455516.401630444 509921.5476552798, 1454934.627992535 509868.0771659375, 1454997.1695890108 509132.33921933913, 1454825.2329556306 509314.5941171107, 1454661.7151858073 508533.1790124624, 1454070.6937767616 509229.9636044509, 1453104.8394530574 508894.3535835605, 1453287.4418478298 507010.52669918915, 1453288.7661355792 505775.11329925107, 1452274.3798427936 505671.27720132977, 1451976.6757477054 505319.29575331294, 1451175.160304057 505710.52718536626, 1449358.3791409046 505685.92404757504, 1447964.2857824164 504769.1443590681, 1447155.2356172036 505907.1014725656, 1446495.358846944 507096.4828446303, 1447136.040346935 506540.0082772721))",1188.0,463.0,102562534,POINT (1452000.5463782977 509055.59738212754),4.862828102019341e-05,0.5971331854720296,4.855415169691457e-05,0.5968872369428838
24003750400,"POLYGON ((1407607.348562502 565070.5976369306, 1409076.7652722048 565729.1165993108, 1409590.3316707325 564699.185648593, 1410792.2627519956 563200.203632051, 1411665.1813739247 562482.0085551362, 1411852.6906855616 562353.4290357435, 1413871.2149276657 560937.8787530415, 1415977.9098516589 559709.6886831821, 1416747.8967635736 559632.6572513137, 1416721.2037668978 559505.7985259696, 1416568.581192369 558069.0373174531, 1415953.6791935123 557623.666323201, 1415426.0514020605 557461.6617268134, 1414728.0602355844 557449.4180414858, 1413859.33206327 557829.5221638499, 1412662.1627641062 557918.4548286125, 1410733.8538192122 557104.6475881792, 1410049.3220395376 556602.6979798164, 1409594.3469683786 556776.5392499092, 1410113.3793652337 556976.271482073, 1409674.7473345841 558080.4061398206, 1409438.482115384 558659.3656474815, 1409378.456423229 559173.427752168, 1409343.3280672578 559472.3257751196, 1409255.668300237 560177.5037689857, 1409127.2756477187 560637.4052678396, 1408764.3995623977 561894.8173883104, 1408479.3156923745 562510.3921379084, 1408085.4400636668 563431.8823945458, 1407820.982244554 564455.4765628572, 1407607.348562502 565070.5976369306))",1614.0,665.0,102564980,POINT (1411720.310866897 560393.4813443733),6.251573123789159e-05,0.7966168968732573,6.251573123789159e-05,0.7966168968732573
