osmid,y,x,street_count,highway,ref,geometry
182814273,39.0330856,-76.1470195,3,,,POINT (1554629.0390827477 498762.85210831504)
182814298,38.9630529,-76.1560551,3,,,POINT (1552298.2840464257 473233.78014875797)
182814302,38.9621155,-76.1577796,1,turning_loop,,POINT (1551811.109389001 472887.8623218239)
182814311,39.0450675,-76.0647066,3,traffic_signals,,POINT (1577965.1041607633 503355.5501109714)
182814315,39.0456116,-76.0657957,4,traffic_signals,,POINT (1577653.7735402314 503550.5388477728)
182814321,39.0460329,-76.0666483,3,,,POINT (1577410.0694966784 503701.49540525035)
182814329,39.0466384,-76.0679258,3,,,POINT (1577045.0147069767 503918.30578456033)
182814363,38.9590122,-76.103032,1,turning_circle,,POINT (1567388.6754323621 471905.97289079323)
182814367,38.9586823,-76.1033237,3,,,POINT (1567306.9127435135 471785.01333968574)
182814371,38.9579296,-76.1054378,3,,,POINT (1566708.4667337984 471504.99331378384)
182814424,39.207686,-76.052665,3,,,POINT (1580770.2752562552 562615.9596544398)
182814439,39.2080795,-76.0542384,3,,,POINT (1580322.9686464337 562754.651364186)
182814463,39.207855,-76.055255,1,,,POINT (1580035.7634963512 562669.9046878592)
182814471,38.9668055,-76.1563468,3,,,POINT (1552202.7150649286 474599.66405122203)
182814475,38.9701843,-76.154792,3,,,POINT (1552633.3723371131 475834.27106493054)
182814480,38.9727962,-76.1534981,3,,,POINT (1552992.4072243632 476788.902278299)
182814483,38.9739931,-76.1528528,3,,,POINT (1553171.814025213 477226.50086010067)
182814486,38.9743724,-76.1526718,3,,,POINT (1553221.9873492047 477365.11500190856)
182814499,38.9757211,-76.1517967,3,,,POINT (1553466.1996140915 477858.6060039865)
182814510,38.9819461,-76.1479349,5,,,POINT (1554542.8622961617 480135.902338196)
182814565,38.9615006,-76.1554759,3,,,POINT (1552468.1971254742 472669.9750464667)
182814571,38.9626739,-76.1558761,3,,,POINT (1552350.4551674232 473096.2236707993)
182814598,39.2081413,-76.0340418,3,,,POINT (1586045.3853195775 562837.0817453418)
182814602,39.2085528,-76.0328981,3,,,POINT (1586367.861340351 562990.3827534989)
182814611,39.211201,-76.0325598,3,,,POINT (1586453.4954199914 563955.883015916)
182814674,39.0774584,-75.934939,3,,,POINT (1614680.9858737795 515555.6499571021)
182814714,38.9370396,-75.9686633,3,,,POINT (1605685.5834924763 464307.5547652702)
182814786,38.9559585,-75.9588179,3,,,POINT (1608407.286539902 471229.19424599974)
182814818,39.0066248,-76.3018972,3,,,POINT (1510709.5916122976 488752.1644205066)
182814829,39.0070718,-76.3028252,1,turning_circle,,POINT (1510444.6493018647 488912.94464570156)
182814842,39.0503098,-76.1142892,3,,,POINT (1563865.1604253517 505124.3051242212)
182814864,39.0471624,-76.1173263,1,turning_circle,,POINT (1563013.7710441882 503969.6913526636)
182814871,39.0317558,-76.311033,3,,,POINT (1508044.4989503524 497885.0744716701)
182814875,39.031937,-76.3116606,1,,,POINT (1507865.7263067218 497949.72226279025)
182814885,39.2050485,-76.056993,1,,,POINT (1579553.8624410455 561642.672800874)
182814938,38.9226047,-76.1999931,1,turning_circle,,POINT (1539934.5312329992 458390.55525269394)
182814949,38.9604267,-76.2051432,1,,,POINT (1538349.4369946967 472152.06466851215)
182814953,38.9589431,-76.2044218,3,,,POINT (1538559.268952628 471613.5407658389)
182814960,38.9576569,-76.20472,3,,,POINT (1538478.5577644168 471144.38216873753)
182814991,38.9588238,-76.2062298,3,,,POINT (1538045.5488649325 471565.6176524058)
182815068,39.0629381,-76.0957341,3,,,POINT (1569088.8566431412 509775.09752893896)
182815071,39.0624847,-76.0949378,3,,,POINT (1569316.5857430943 509612.21309087024)
182815098,39.0647078,-76.0967605,1,turning_circle,,POINT (1568791.0555891336 510416.7248390084)
182815101,39.064466,-76.0963181,3,,,POINT (1568917.53404311 510329.9060798799)
182815121,39.1461383,-75.892367,3,,,POINT (1626462.1466146722 540711.8779683696)
182815170,39.1702794,-75.8916329,4,,,POINT (1626563.5774633423 549506.4107487483)
182815184,39.0975363,-76.0962619,3,,,POINT (1568814.2534220738 522374.0857029002)
182815190,39.09956,-76.0941663,3,,,POINT (1569401.6503700907 523117.00353818573)
182815233,39.1162059,-76.0760063,3,,,POINT (1574493.762377025 529231.0251232778)
182815239,39.1197311,-76.0721976,3,,,POINT (1575561.2985566787 530525.8518185555)
182815285,39.1349968,-76.0600374,3,,,POINT (1578953.9065376788 536120.869039208)
182815358,39.1934163,-76.0598374,3,,,POINT (1578791.5055425528 557397.8665750218)
182815397,39.1949367,-76.0609521,1,turning_circle,,POINT (1578469.8961249602 557948.349799047)
182815423,38.9367357,-76.17092,3,,,POINT (1548158.8149621147 463610.6651775233)
182815428,38.9361112,-76.1706441,3,,,POINT (1548239.356541906 463383.943777764)
182815436,38.9348924,-76.1689051,1,turning_circle,,POINT (1548738.0323366304 462944.57243935764)
182815483,38.9570686,-76.1263542,4,,,POINT (1560763.9383849513 471133.82734077284)
182815520,38.9585726,-76.1107181,3,,,POINT (1565204.745825687 471724.49450028245)
182815544,38.9625806,-76.1079016,3,,,POINT (1565991.3386045452 473191.96403267985)
182815546,38.963417,-76.1070237,3,,,POINT (1566237.9711914544 473499.00945094775)
182815579,39.0562958,-76.0700766,3,,,POINT (1576398.3750653788 507429.2142736363)
182815583,39.0595291,-76.074187,3,,,POINT (1575219.2684890437 508594.8916455467)
182815589,39.0610684,-76.0766469,3,,,POINT (1574515.1313452083 509148.4179603651)
182815607,38.9908295,-76.1553487,3,,,POINT (1552405.5331665114 483351.55568437994)
